frameworkId,sectionId,categoryId,requirementId,referenceId,helpText
5,cROD5zF-9uf_,,VbT1rVWlassm,IR.L2-3.6.1,"<p>Organizations recognize that incident handling capability is dependent on the capabilities of organizational systems and the mission/business processes being supported by those systems. Organizations consider incident handling as part of the definition, design, and development of mission/business processes and systems. Incident-related information can be obtained from a variety of sources including audit monitoring, network monitoring, physical access monitoring, user and administrator reports, and reported supply chain events. Effective incident handling capability includes coordination among many organizational entities including mission/business owners, system owners, authorizing officials, human resources offices, physical and personnel security offices, legal departments, operations personnel, procurement offices, and the risk executive.</p><p>As part of user response activities, incident response training is provided by organizations and is linked directly to the assigned roles and responsibilities of organizational personnel to ensure that the appropriate content and level of detail is included in such training. For example, regular users may only need to know who to call or how to recognize an incident on the system; system administrators may require additional training on how to handle or remediate incidents; and incident responders may receive more specific training on forensics, reporting, system recovery, and restoration. Incident response training includes user training in the identification/reporting of suspicious activities from external and internal sources. User response activities also includes incident response assistance which may consist of help desk support, assistance groups, and access to forensics services or consumer redress services, when required.</p><p>NIST SP 800-61 provides guidance on incident handling. SP 800-86 and SP 800-101 provide guidance on integrating forensic techniques into incident response. SP 800-161 provides guidance on supply chain risk management.</p><h3><span style=""background-color: #ffffff;"">CMMC CLARIFICATION</span></h3><ul><li>Incident handling capabilities prepare your organization to respond to incidents and may:</li><li>identify people inside and outside your organization you may need to contact during an incident;</li><li>establish a way to report incidents, such as an email address or a phone number;</li><li>establish a system for tracking incidents; and</li><li>determine a place and a way to store evidence of an incident.</li></ul><p>Software and hardware may be required to analyze incidents when they occur. Incident prevention activities are also part of an incident-handling capability. The incident-handling team provides input for such things as risk assessments and training.</p><p>Contractors detect incidents using different indicators. Indicators may include:</p><ul><li>alerts from sensors or antivirus software;</li><li>a filename that looks unusual; and</li><li>log entries that raise concern.</li></ul><p>After detecting an incident, an incident response team performs analysis. This requires some knowledge of normal network operations. The incident should be documented including all the log entries associated with the incident.</p><p>Containment of the incident is a critical step to stop the damage the incident is causing to your network. Containment activities should be based on previously defined organizational priorities and assessment of risk.</p><p>Recovery activities restore systems to pre-incident functionality and address its underlying causes. Organizations should use recovery activities as a means of improving their overall resilience to future attacks.</p><h3><span style=""background-color: #ffffff;"">Example </span></h3><p>Your manager asks you to set up your company&rsquo;s incident-response capability [a]. First, you create an email address to collect information on possible incidents. Next, you draft a contact list of all the people who need to know when an incident occurs. You document a procedure for how to submit incidents that includes roles and responsibilities when a potential incident is detected or reported. The procedure also explains how to track incidents, from initial creation to closure [b].</p><p><h3><span style=""background-color: #ffffff;"">Potential Assessment Considerations </span></h3></p><ul><li>Is there an incident response policy which specifically outlines requirements for handling of incidents involving CUI [a]? 45</li></ul><h3><span style=""background-color: #ffffff;"">KEY REFERENCES </span></h3><ul><li>NIST SP 800-171 Rev 2 3.6.1</li></ul>"
5,cROD5zF-9uf_,,_0XQwLYKtkSA,IR.L2-3.6.2,"<p>Tracking and documenting system security incidents includes maintaining records about each incident, the status of the incident, and other pertinent information necessary for forensics, evaluating incident details, trends, and handling. Incident information can be obtained from a variety of sources including incident reports, incident response teams, audit monitoring, network monitoring, physical access monitoring, and user/administrator reports. Reporting incidents addresses specific incident reporting requirements within an organization and the formal incident reporting requirements for the organization.Suspected security incidents may also be reported and include the receipt of suspicious email communications that can potentially contain malicious code. The types of security incidents reported, the content and timeliness of the reports, and the designated reporting authorities reflect applicable laws, Executive Orders, directives, regulations, and policies.</p><p>NIST SP 800-61 provides guidance on incident handling.</p><h3><span style=""background-color: #ffffff;"">CMMC CLARIFICATION</span></h3><p>Incident handling is the actions the organization takes to prevent or contain the impact of an incident to the organization while it is occurring or shortly after it has occurred. The majority of the process consists of incident identification, containment, eradication, and recovery. During this process, it is essential to track the work processes required in order to effectively respond. Designate a central hub to serve as the point to coordinate, communicate, and track activities. The hub should receive and document information from system administrators, incident handlers, and others involved throughout the process. As the incident process moves toward eradication, executives, affected business units, and any required external stakeholders should be kept aware of the incident in order to make decisions affecting the business. Report to designated authorities, taking into account applicable laws, directives, regulations, and other guidance. Specify staff responsible for communicating about the incident to internal and external stakeholders.</p><h3><h3><span style=""background-color: #ffffff;"">Example </span></h3></h3><p>You notice unusual activity on a server and determine a potential security incident has occurred. You open a tracking ticket with the Security Operations Center (SOC), which assigns an incident handler to work the ticket [a]. The handler investigates and documents initial findings, which lead to a determination that unauthorized access occurred on the server [b]. The SOC establishes an incident management team consisting of security, database, network, and system administrators. The team meets daily to update progress and plan courses of action to contain the incident [a]. At the end of the day, the team provides a status report to IT executives [d,f]. Two days later, the team declares the incident contained. The team produces a final report as the database system is rebuilt and placed back into operation.</p><h3><p><span style=""background-color: #ffffff;"">Potential Assessment Considerations </span></h3></p><ul><li>Is there an incident response policy that directs the establishment of requirements for tracking and reporting of incidents involving CUI to appropriate officials [a,d]?</li><li>Is cybersecurity incident information promptly reported to management [e,f]?46</li></ul><h3><span style=""background-color: #ffffff;"">REFERENCES</span></h3><ul><li>NIST SP 800-171 Rev 2 3.6.2</li></ul>"
5,cROD5zF-9uf_,,uAxksvNezpdH,IR.L2-3.6.3 ,"<p>Organizations test incident response capabilities to determine the effectiveness of the capabilities and to identify potential weaknesses or deficiencies. Incident response testing includes the use of checklists, walk-through or tabletop exercises, simulations (both parallel and full interrupt), and comprehensive exercises. Incident response testing can also include a determination of the effects on organizational operations (e.g., reduction in mission capabilities), organizational assets, and individuals due to incident response. NIST SP 800-84 provides guidance on testing programs for information technology capabilities.</p><h3><span style=""background-color: #ffffff;"">CMMC CLARIFICATION</span></h3><p>Testing incident response capability validates existing plans and highlights potential deficiencies. The test should address questions such as what happens during an incident; who is responsible for incident management; what tasks are assigned within the IT organization; what support is needed from legal, public affairs, or other business components; how resources are added if needed during the incident; and how law enforcement is involved. Any negative impacts to the normal day-to-day operations when responding to an incident should also be identified and documented.</p><h3><span style=""background-color: #ffffff;"">Example </span></h3><p>You decide to conduct an incident response table top exercise that simulates an attacker gaining access to the network through a compromised server. You include relevant IT staff such as security, database, network, and system administrators as participants. You also request representatives from legal, human resources, and communications. You provide a scenario to the group and have prepared key questions aligned with the response plans to guide the exercise. During the exercise, you focus on how the team executes the incident response plan. Afterward, you conduct a debrief with everyone that was involved to provide feedback and develop improvements to the incident response plan [a].</p><p><h3><span style=""background-color: #ffffff;"">Potential Assessment Considerations </span></h3></p><ul><li>Does the incident response policy outline requirements for regular incident response plan testing and reviews of incident response capabilities [a]?</li></ul><h3><span style=""background-color: #ffffff;"">REFERENCES</span></h3><ul><li>NIST SP 800-171 Rev 2 3.6.3</li></ul>"
5,O4I22lj0x9jf,,yGs6S7JgsRv-,MA.L2-3.7.1,"<p>This requirement addresses the information security aspects of the system maintenance program and applies to all types of maintenance to any system component (including hardware, firmware, applications) conducted by any local or nonlocal entity. System maintenance also includes those components not directly associated with information processing and data or information retention such as scanners, copiers, and printers.</p><h3><span style=""background-color: #ffffff;"">CMMC CLARIFICATION</span></h3><p>One common form of computer security maintenance is regular patching of discovered vulnerabilities in software and operating systems, though there are others that require attention. System maintenance includes:</p><ul><li>corrective maintenance (e.g., repairing problems with the technology);</li><li>preventative maintenance (e.g., updates to prevent potential problems);&nbsp;</li><li>adaptive maintenance (e.g., changes to the operative environment); and</li><li>perfective maintenance (e.g., improve operations).</li></ul><h3><span style=""background-color: #ffffff;""> Example </span></h3><p>You are responsible for maintenance activities on your company&rsquo;s machines. This includes regular planned maintenance, unscheduled maintenance, reconfigurations when required, and damage repairs [a]. You know that failing to conduct maintenance activities can impact system security and availability, so you ensure that maintenance is regularly performed. You track all maintenance performed to assist with troubleshooting later if needed.</p><p><h3><span style=""background-color: #ffffff;""> Potential Assessment Considerations </span></h3></p><ul><li>Are systems, devices, and supporting systems maintained per manufacturer recommendations or company defined schedules [a]?</li></ul><h3><span style=""background-color: #ffffff;"">REFERENCES</span></h3><ul><li>NIST SP 800-171 Rev 2 3.7.1</li></ul>"
5,O4I22lj0x9jf,,-j0aIs9ysYj6,MA.L2-3.7.2 ,"<p>This requirement addresses security-related issues with maintenance tools that are not within the organizational system boundaries that process, store, or transmit CUI, but are used specifically for diagnostic and repair actions on those systems. Organizations have flexibility in determining the controls in place for maintenance tools, but can include approving, controlling, and monitoring the use of such tools. Maintenance tools are potential vehicles for transporting malicious code, either intentionally or unintentionally, into a facility and into organizational systems. Maintenance tools can include hardware, software, and firmware items, for example, hardware and software diagnostic test equipment and hardware and software packet sniffers.</p><h3><span style=""background-color: #ffffff;"">CMMC CLARIFICATION</span></h3><p>Tools used to perform maintenance must remain secure so they do not introduce viruses or other malware into your system. Controlling your maintenance techniques prevents intentional or unintentional harm to your network and systems. Additionally, the personnel responsible for maintenance activities should be supervised considering their elevated privilege on company assets.</p><h3><span style=""background-color: #ffffff;"">Example </span></h3><p>You are responsible for maintenance activities on your company&rsquo;s machines. To avoid introducing additional vulnerability into the systems you are maintaining, you make sure that all maintenance tools are approved and their usage is monitored and controlled [a,b]. You ensure the tools are kept current and up-to-date [a]. You and your backup are the only people authorized to use these tools and perform system maintenance [d].</p><p><h3><span style=""background-color: #ffffff;"">Potential Assessment Considerations</span></h3></p><ul><li>Are physical or logical access controls used to limit access to maintenance tools to authorized personnel [a]?</li><li>Are physical or logical access controls used to limit access to system documentation and organizational maintenance process documentation to authorized personnel [b]?</li><li>Are physical or logical access controls used to limit access to automated mechanisms (e.g., automated scripts, scheduled jobs) to authorized personnel [c]?</li><li>Are physical or logical access controls used to limit access to the system entry points that enable maintenance (e.g., administrative portals, local and remote console access, and physical equipment panels) to authorized personnel [d]?</li></ul><h3><span style=""background-color: #ffffff;"">REFERENCES</span></h3><ul><li>NIST SP 800-171 Rev 2 3.7.2</li></ul>"
5,O4I22lj0x9jf,,b7tlerl4Oc_Y,MA.L2-3.7.3,"<p>This requirement addresses the information security aspects of system maintenance that are performed off-site and applies to all types of maintenance to any system component (including applications) conducted by a local or nonlocal entity (e.g., in-contract, warranty, in-house, software maintenance agreement).</p><p>NIST SP 800-88 provides guidance on media sanitization.</p><h3><span style=""background-color: #ffffff;"">CMMC CLARIFICATION</span></h3><p>Sanitization is a process that makes access to data infeasible on media such as a hard drive. The process may overwrite the entire media with a fixed pattern such as binary zeros. In addition to clearing the data an organization could purge (e.g., degaussing, secure erasing, or disassembling) the data, or even destroy the media (e.g., incinerating, shredding, or pulverizing). Performing one of these activities ensures that the data is extremely hard to recover, thus ensuring its confidentiality.</p><p>For additional guidance on which specific sanitization actions should be taken on any specific type of media, review the description of the Purge actions given in NIST SP 800-88 Revision 1 &ndash; Guidelines for Media Sanitization.</p><h3><span style=""background-color: #ffffff;"">Example </span></h3><p>You manage your organization&rsquo;s IT equipment. A recent DoD project has been using a storage array to house CUI. Recently, the array has experienced disk issues. After troubleshooting with the vendor, they recommend several drives be replaced in the array. Knowing the drives may contain CUI, you reference NIST 800-88 Rev. 1 and determine a strategy you can implement on the defective equipment &ndash; processing the drives with a degaussing unit [a]. Once all the drives have been wiped, you document the action and ship the faulty drives to the vendor.</p><p><h3><span style=""background-color: #ffffff;"">Potential Assessment Considerations</span></h3></p><ul><li>Is there a process for sanitizing (e.g., erasing, wiping, degaussing) equipment that was used to store, process, or transmit CUI before it is removed from the facility for off-site maintenance (e.g., manufacturer or contracted maintenance support) [a]?</li></ul><h3><span style=""background-color: #ffffff;"">REFERENCES</span></h3><ul><li>NIST SP 800-171 Rev 2 3.7.3</li></ul>"
5,O4I22lj0x9jf,,HvbAVYx4NIRY,MA.L2-3.7.4,"<p>If, upon inspection of media containing maintenance diagnostic and test programs, organizations determine that the media contain malicious code, the incident is handled consistent with incident handling policies and procedures.</p><h3><span style=""background-color: #ffffff;"">CMMC CLARIFICATION</span></h3><p>As part of troubleshooting, a vendor may provide a diagnostic application to install on a system. As this is executable code, there is a chance that the file is corrupt or infected with malicious code. Implement procedures to scan any files prior to installation. The same level of scrutiny must be made as with any file a staff member may download. This practice, MA.L2-3.7.4, extends both SI.L1-3.14.2 and SI.L1-3.14.4. SI.L1-3.14.2 and SI.L1- 3.14.4 require the implementation and updating of mechanisms to protect systems from malicious code, and MA.L2-3.7.4 extends this requirement to diagnostic and testing tools.</p><h3><span style=""background-color: #ffffff;"">Example </span></h3><p>You have recently been experiencing performance issues on one of your servers. After troubleshooting for much of the morning, the vendor has asked to install a utility that will collect more data from the server. The file is stored on the vendor&rsquo;s FTP server. The support technician gives you the FTP site so you can anonymously download the utility file. You also ask him for a hash of the utility file. As you download the file to your local computer, you realize it is compressed. You unzip the file and perform a manual antivirus scan, which reports no issues [a]. To verify the utility file has not been altered, you run an application to see that the hash from the vendor matches.</p><p><h3><span style=""background-color: #ffffff;"">Potential Assessment Considerations</span></h3></p><ul><li>Are media containing diagnostic and test programs (e.g., downloaded or copied utilities or tools from manufacturer, third-party, or in-house support teams) checked for malicious code (e.g., using antivirus or antimalware scans) before the media are used on organizational systems [a]?</li></ul><h3><span style=""background-color: #ffffff;"">REFERENCES</span></h3><ul><li>NIST SP 800-171 Rev 2 3.7.4</li></ul>"
5,O4I22lj0x9jf,,XT8R-g-Z0INK,MA.L2-3.7.5 ,"<p>Nonlocal maintenance and diagnostic activities are those activities conducted by individuals communicating through an external network. The authentication techniques employed in the establishment of these nonlocal maintenance and diagnostic sessions reflect the network access requirements in IA.L2-3.5.3.</p><p>FURTHER DISCUSSION Nonlocal maintenance activities must use multifactor authentication. Multifactor authentication requires at least two factors, such as:</p><ul><li>something you know (e.g., password, personal identification number [PIN]);</li><li>something you have (e.g., cryptographic identification device, token); or</li><li>something you are (e.g., biometric fingerprint or facial scan).</li></ul><p>Requiring two or more factors to prove your identity increases the security of the connection. Nonlocal maintenance activities are activities conducted from external network connections such as over the internet. After nonlocal maintenance activities are complete, shut down the external network connection.</p><p>This practice, MA.L2-3.7.5 requires the addition of multifactor authentication for remote maintenance sessions and complements five other practices dealing with remote access (AC.L2-3.1.12, AC.L2-3.1.14, AC.L2-3.1.13, AC.L2-3.1.15, and IA.L2-3.5.3):</p><ul><li>AC.L2-3.1.12 requires the control of remote access sessions.</li><li>AC.L2-3.1.14 limits remote access to specific access control points.</li><li>AC.L2-3.1.13 requires the use of cryptographic mechanisms when enabling remote sessions.</li><li>AC.L2-3.1.15 requires authorization for privileged commands executed during a remote session.</li></ul><p>Finally, IA.L2-3.5.3 requires multifactor authentication for network access to nonprivileged accounts.</p><h3><span style=""background-color: #ffffff;"">Example </span></h3><p>You are responsible for maintaining your company&rsquo;s firewall. In order to conduct maintenance while working remotely, you connect to the firewall&rsquo;s management interface and log in using administrator credentials. The firewall then sends a verification request to the multifactor authentication app on your smartphone [a]. You need both of these things to prove your identity [a]. After you respond to the multifactor challenge, you have access to the maintenance interface. When you finish your activities, you shut down the remote connection by logging out and quitting your web browser [b].</p><p><h3><span style=""background-color: #ffffff;"">Potential Assessment Considerations</span></h3></p><ul><li>Is multifactor authentication required prior to maintenance of a system when connecting remotely from outside the system boundary [a]?</li><li>Are personnel required to manually terminate remote maintenance sessions established via external network connections when maintenance is complete, or are connections terminated automatically through system session management mechanisms [b]?</li></ul><h3><span style=""background-color: #ffffff;"">REFERENCES</span></h3><ul><li>NIST SP 800-171 Rev 2 3.7.5</li></ul>"
5,O4I22lj0x9jf,,GRnGOm1m9wcT,MA.L2-3.7.6 ,"<p>This requirement applies to individuals who are performing hardware or software maintenance on organizational systems, while PE.L1-3.10.1 addresses physical access for individuals whose maintenance duties place them within the physical protection perimeter of the systems (e.g., custodial staff, physical plant maintenance personnel). Individuals not previously identified as authorized maintenance personnel, such as information technology manufacturers, vendors, consultants, and systems integrators, may require privileged access to organizational systems, for example, when required to conduct maintenance activities with little or no notice. Organizations may choose to issue temporary credentials to these individuals based on organizational risk assessments. Temporary credentials may be for one-time use or for very limited time periods.</p><h3><span style=""background-color: #ffffff;"">CMMC CLARIFICATION</span></h3><p>Individuals without proper permissions must be supervised while conducting maintenance on organizational machines. Consider creating temporary accounts with short-term expiration periods rather than regular user accounts. Additionally, limit the permissions and access these accounts have to the most restrictive settings possible.</p><h3><span style=""background-color: #ffffff;"">Example </span></h3><p>One of your software providers has to come on-site to update the software on your company&rsquo;s computers. You give the individual a temporary logon and password that expires in 12 hours and is limited to accessing only the computers necessary to complete the work [a]. This gives the technician access long enough to perform the update. You monitor the individual&rsquo;s physical and network activity while the maintenance is taking place [a] and revoke access when the job is done.</p><p><h3><span style=""background-color: #ffffff;""> Potential Assessment Considerations </span></h3></p><ul><li>Are there processes for escorting and supervising maintenance personnel without required access authorization (e.g., vendor support personnel, short-term maintenance contractors) during system maintenance [a]?</li></ul><h3><span style=""background-color: #ffffff;"">REFERENCES</span></h3><ul><li>NIST SP 800-171 Rev 2 3.7.6</li></ul>"
5,JqY3b-UrxU6J,,cVTVl7KiE_hD,MP.L2-3.8.1,"<p>System media includes digital and non-digital media. Digital media includes diskettes, magnetic tapes, external and removable hard disk drives, flash drives, compact disks, and digital video disks. Non-digital media includes paper and microfilm. Protecting digital media includes limiting access to design specifications stored on compact disks or flash drives in the media library to the project leader and any individuals on the development team. Physically controlling system media includes conducting inventories, maintaining accountability for stored media, and ensuring procedures are in place to allow individuals to check out and return media to the media library. Secure storage includes a locked drawer, desk, or cabinet, or a controlled media library.</p><p>Access to CUI on system media can be limited by physically controlling such media, which includes conducting inventories, ensuring procedures are in place to allow individuals to check out and return media to the media library, and maintaining accountability for all stored media.</p><p>NIST SP 800-111 provides guidance on storage encryption technologies for end user devices.</p><h3><span style=""background-color: #ffffff;"">CMMC CLARIFICATION</span></h3><p>CUI can be contained on two types of physical media:</p><ul><li>hardcopy (e.g., CD drives, USB drives, magnetic tape); and</li><li>digital devices (e.g., CD drives, USB drives, video).</li></ul><p>You should store physical media containing CUI in a secure location. This location should be accessible only to those people with the proper permissions. All who access CUI should follow the process for checking it out and returning it.</p><h3><span style=""background-color: #ffffff;"">Example </span></h3><p>Your company has CUI for a specific Army contract contained on a USB drive. You store the drive in a locked drawer, and you log it on an inventory [d]. You establish a procedure to check out the USB drive so you have a history of who is accessing it. These procedures help to maintain the confidentiality, integrity, and availability of the data.</p><p><h3><span style=""background-color: #ffffff;"">Potential Assessment Considerations</span></h3></p>p>Is hardcopy media containing CUI handled only by authorized personnel according to defined procedures [a]?</p><ul><li>Is digital media containing CUI handled only by authorized personnel according to defined procedures [b]?</li><li>Is paper media containing CUI physically secured (e.g., in a locked drawer or cabinet)[c]?</li><li>Is digital media containing CUI securely stored (e.g., in access-controlled repositories) [d]?</li></ul><h3><span style=""background-color: #ffffff;"">REFERENCES</span></h3><ul><li>NIST SP 800-171 Rev 2 3.8.1</li></ul>"
